Cycle: 15  AE.A244  1.562_X	Cycle: 15  AE.A244  1.562_Y	Cycle: 16  AE.A244  3.125_X	Cycle: 16  AE.A244  3.125_Y	Cycle: 17  AE.A244  6.25 _X	Cycle: 17  AE.A244  6.25 _Y	Cycle: 18  AE.A244  12.5 _X	Cycle: 18  AE.A244  12.5 _Y	Cycle: 19  AE.A244  25 µg_X	Cycle: 19  AE.A244  25 µg_Y	Cycle: 20  AE.A244  50 µg_X	Cycle: 20  AE.A244  50 µg_Y	Cycle: 21  AE.A244  100 µ_X	Cycle: 21  AE.A244  100 µ_Y	Cycle: 22  AE.A244  200 µ_X	Cycle: 22  AE.A244  200 µ_Y
-53.86	-0.0332336	-53.76	-0.0906677	-53.76	4.82178e-3	-53.76	0.0823669	-53.86	0.107544	-53.86	0.0249634	-53.76	-0.036438	-53.76	-2.38037e-3
-53.76	-0.015656	-53.66	-0.0773621	-53.66	0.0184937	-53.66	0.135101	-53.76	0.115356	-53.76	0.0226436	-53.66	-0.0442505	-53.66	-0.015625
-53.66	-7.04956e-3	-53.56	-0.0750408	-53.56	0.0255146	-53.56	0.168306	-53.66	0.131775	-53.66	7.8125e-3	-53.56	-0.0618267	-53.56	-0.0277691
-53.56	-0.0117493	-53.46	-0.0766296	-53.46	0.0286255	-53.46	0.21048	-53.56	0.151672	-53.56	-0.0125122	-53.46	-0.0567627	-53.46	-0.059021
-53.46	-0.0133362	-53.36	-0.0840111	-53.36	0.0184937	-53.36	0.233921	-53.46	0.170807	-53.46	-0.0191688	-53.36	-0.0977783	-53.36	-0.105099
-53.36	-0.0285339	-53.26	-0.0769958	-53.26	0.0383911	-53.26	0.253448	-53.36	0.173157	-53.36	-0.0535278	-53.26	-0.102844	-53.26	-0.127747
-53.26	-0.0187713	-53.16	-0.0867615	-53.16	0.0380249	-53.16	0.260101	-53.26	0.175903	-53.26	-0.0797149	-53.16	-0.132141	-53.16	-0.161743
-53.16	-0.0117493	-53.06	-0.0965234	-53.06	0.0383948	-53.06	0.262424	-53.16	0.172791	-53.16	-0.114075	-53.06	-0.158321	-53.06	-0.19067
-53.06	-0.0262146	-52.96	-0.0848083	-52.96	0.0497437	-52.96	0.263214	-53.06	0.155579	-53.06	-0.15979	-52.96	-0.180969	-52.96	-0.22229
-52.96	-0.0168152	-52.86	-0.0898713	-52.86	0.0567627	-52.86	0.287448	-52.96	0.14386	-52.96	-0.18909	-52.86	-0.207153	-52.86	-0.241818
-52.86	-0.0215149	-52.76	-0.0875549	-52.76	0.052063	-52.76	0.296417	-52.86	0.129028	-52.86	-0.233215	-52.76	-0.251282	-52.76	-0.271118
-52.76	-0.0309184	-52.66	-0.094574	-52.66	0.0419312	-52.66	0.280792	-52.76	0.109497	-52.76	-0.276982	-52.66	-0.292297	-52.66	-0.287537
-52.66	-0.0285339	-52.56	-0.0992722	-52.56	0.0274673	-52.56	0.25461	-52.66	0.0899658	-52.66	-0.325012	-52.56	-0.306761	-52.56	-0.284789
-52.56	-0.016449	-52.46	-0.104736	-52.46	7.93457e-3	-52.46	0.207367	-52.56	0.0848999	-52.56	-0.334778	-52.46	-0.338379	-52.46	-0.287903
-52.46	-0.0382996	-52.36	-0.116849	-52.36	-0.026062	-52.36	0.149142	-52.46	0.0723877	-52.46	-0.354312	-52.36	-0.350891	-52.36	-0.2926
-52.36	-0.0429993	-52.26	-0.13324	-52.26	-0.0444031	-52.26	0.0889893	-52.36	0.0528564	-52.36	-0.369141	-52.26	-0.383698	-52.26	-0.294159
-52.26	-0.0476711	-52.16	-0.150421	-52.16	-0.0666504	-52.16	0.0159607	-52.26	0.025116	-52.26	-0.387118	-52.16	-0.391113	-52.16	-0.294922
-52.16	-0.0578308	-52.06	-0.176603	-52.06	-0.0787942	-52.06	-0.0344521	-52.16	0.0223999	-52.16	-0.389465	-52.06	-0.389951	-52.06	-0.304319
-52.06	-0.0722961	-51.96	-0.171906	-51.96	-0.0889282	-51.96	-0.0610046	-52.06	-1.83105e-3	-52.06	-0.399628	-51.96	-0.373535	-51.96	-0.276978
-51.96	-0.0691833	-51.86	-0.168427	-51.86	-0.0952148	-51.86	-0.0676579	-51.96	-1.83105e-3	-51.96	-0.374633	-51.86	-0.358704	-51.86	-0.249634
-51.86	-0.0613708	-51.76	-0.147675	-51.76	-0.105347	-51.76	-0.0727234	-51.86	1.28174e-3	-51.86	-0.352356	-51.76	-0.322754	-51.76	-0.213684
-51.76	-0.0453182	-51.66	-0.140289	-51.66	-0.134644	-51.66	-0.0969543	-51.76	0.017334	-51.76	-0.301941	-51.66	-0.305969	-51.66	-0.201599
